fold,prune_method,min_val,max_val,prune_bias,performance_Dice,performance_FN,performance_FP,performance_IoU,performance_TN,performance_TP,performance_n_pred,performance_n_ref,weights_zeros,weights_total,weights_percentage,biases_zeros,biases_total,biases_percentage,total_zeros,total_total,total_percentage
0,RangePruning,-9e-3,9e-3,False,0.1614606965106637,5960.393333333333,181.98333333333335,0.1083098138177621,528177.2066666667,699.2966666666666,881.2800000000001,6659.69,19741517,20610080,95.79,4,10996,0.04,19741521,20621076,95.73
0,RangePruning,-1e-2,1e-2,True,0.17598825149493472,5790.32,407.01666666666665,0.12539076633186563,527952.1733333333,869.37,1276.3866666666668,6659.69,20012750,20610080,97.1,6639,10996,60.38,20019389,20621076,97.08
0,RangePruning,-1e-3,1e-3,False,0.9243181341049526,457.25,421.1233333333333,0.8625700916002653,527938.0666666668,6202.44,6623.563333333333,6659.69,5008692,20610080,24.3,4,10996,0.04,5008696,20621076,24.29
0,RangePruning,-8e-3,8e-3,True,0.35953019644558254,5215.336666666667,342.92333333333335,0.22925051399914073,528016.2666666666,1444.3533333333332,1787.2766666666666,6659.69,19344914,20610080,93.86,6517,10996,59.27,19351431,20621076,93.84
0,RangePruning,-5e-3,5e-3,False,0.9155382767488,542.2066666666667,416.7833333333333,0.8485663758831364,527942.4066666666,6117.483333333334,6534.266666666667,6659.69,16783641,20610080,81.43,4,10996,0.04,16783645,20621076,81.39
0,RangePruning,-3e-3,3e-3,True,0.9256611651459702,461.37999999999994,404.12999999999994,0.8648548144406861,527955.0599999999,6198.31,6602.44,6659.69,12701215,20610080,61.63,5897,10996,53.63,12707112,20621076,61.62
0,RangePruning,-6e-3,6e-3,True,0.853265528395197,1213.2166666666667,476.5933333333334,0.7575727722144429,527882.5966666667,5446.473333333334,5923.066666666667,6659.69,17952082,20610080,87.1,6335,10996,57.61,17958417,20621076,87.09
0,RangePruning,-5e-3,5e-3,True,0.915446836528424,544.2166666666667,415.68666666666667,0.8484312054584086,527943.5033333333,6115.473333333332,6531.16,6659.69,16783641,20610080,81.43,6244,10996,56.78,16789885,20621076,81.42
0,RangePruning,0e+,0e+,False,0.9241736640362005,458.6833333333334,420.84666666666664,0.8623070906878741,527938.3433333333,6201.006666666667,6621.853333333333,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
0,RangePruning,-7e-3,7e-3,False,0.6977502508111932,2494.97,552.48,0.574362468173025,527806.71,4164.72,4717.2,6659.69,18771509,20610080,91.08,4,10996,0.04,18771513,20621076,91.03
0,RangePruning,-3e-3,3e-3,False,0.9256436747652222,462.06999999999994,403.56333333333333,0.8648283135943694,527955.6266666667,6197.62,6601.183333333333,6659.69,12701215,20610080,61.63,4,10996,0.04,12701219,20621076,61.59
0,RangePruning,0e+,0e+,True,0.9241719793178419,458.6666666666667,420.87999999999994,0.8623043342836597,527938.3099999999,6201.0233333333335,6621.903333333333,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
3,RangePruning,-8e-3,8e-3,False,0.4944030483551747,4281.676666666667,323.00666666666666,0.35668338000472904,528036.1833333333,2378.0133333333333,2701.02,6659.69,19359760,20610080,93.93,4,10996,0.04,19359764,20621076,93.88
3,RangePruning,-2e-3,2e-3,True,0.9243896542561961,501.93333333333334,372.82666666666665,0.86253512061166,527986.3633333333,6157.756666666667,6530.583333333333,6659.69,9344894,20610080,45.34,5674,10996,51.6,9350568,20621076,45.34
3,RangePruning,-4e-3,4e-3,True,0.9203283196226306,539.9899999999999,381.6466666666667,0.8559179975018165,527977.5433333333,6119.7,6501.346666666667,6659.69,15121931,20610080,73.37,6142,10996,55.86,15128073,20621076,73.36
3,RangePruning,-1e-3,1e-3,True,0.9244468125660551,485.13000000000005,387.92,0.8626524049038687,527971.27,6174.56,6562.48,6659.69,5002078,20610080,24.27,5351,10996,48.66,5007429,20621076,24.28
3,RangePruning,-4e-3,4e-3,False,0.9203634180418246,541.0866666666667,380.13333333333327,0.8559703338456518,527979.0566666668,6118.6033333333335,6498.736666666667,6659.69,15121931,20610080,73.37,4,10996,0.04,15121935,20621076,73.33
